,name,date
0,00097-still_fr.jpg,1651-1700
1,00476-virgin_c.jpg,1701-1750
2,00781-3predel4.jpg,1401-1450
3,00881-10north.jpg,1401-1450
4,00954-02virgin.jpg,1401-1450
5,01094-christ.jpg,1451-1500
6,02764-eccehomo.jpg,1601-1650
7,03173-spicesho.jpg,1601-1650
8,03281-gimignan.jpg,1351-1400
9,03973-bello201.jpg,1751-1800
10,04123-peasants.jpg,1651-1700
11,04389-annuncia.jpg,1451-1500
12,04410-landscap.jpg,1801-1850
13,04511-virgin_c.jpg,1451-1500
14,04578-pendant2.jpg,1601-1650
15,04586-young_gi.jpg,1601-1650
16,04599-medici4.jpg,1651-1700
17,04981-moonlit.jpg,1751-1800
18,05008-findmose.jpg,1501-1550
19,05055-landscap.jpg,1601-1650
20,05439-110madon.jpg,1451-1500
21,05487-2predell.jpg,1451-1500
22,05555-12marull.jpg,1451-1500
23,05645-allegor1.jpg,1701-1750
24,05692-sun1.jpg,1701-1750
25,06087-taylor_s.jpg,1651-1700
26,06918-elegantw.jpg,1851-1900
27,07159-canal110.jpg,1701-1750
28,07499-271y_ram.jpg,1551-1600
29,07957-farnes01.jpg,1551-1600
30,07998-magnani.jpg,1551-1600
31,08407-madchild.jpg,1351-1400
32,08420-figures.jpg,1601-1650
33,08667-01soap.jpg,1701-1750
34,08784-madchild.jpg,1451-1500
35,08796-dry_tree.jpg,1451-1500
36,08864-12peter.jpg,1451-1500
37,09052-sunshine.jpg,1851-1900
38,09373-leaping.jpg,1801-1850
39,09498-1wedding.jpg,1551-1600
40,09848-courb111.jpg,1851-1900
41,09897-courb402.jpg,1851-1900
42,10016-m_olives.jpg,1651-1700
43,10095-23altar.jpg,1501-1550
44,10201-charity1.jpg,1501-1550
45,10300-06woman4.jpg,1501-1550
46,10534-madonna.jpg,1451-1500
47,10768-twoteals.jpg,1601-1650
48,11142-1870s_07.jpg,1851-1900
49,12350-portlady.jpg,1751-1800
50,12460-villers.jpg,1751-1800
51,12490-05self26.jpg,1501-1550
52,12998-selfpor1.jpg,1601-1650
53,13385-u2sibyl.jpg,1401-1450
54,13403-15arnol.jpg,1401-1450
55,13439-alfieri.jpg,1751-1800
56,13646-23ferenc.jpg,1851-1900
57,14509-burning.jpg,1451-1500
58,14788-giustina.jpg,1751-1800
59,14843-konigsbr.jpg,1801-1850
60,14906-early08.jpg,1851-1900
61,15337-jupiter.jpg,1651-1700
62,15755-tobias_a.jpg,1701-1750
63,16385-chris13.jpg,1301-1350
64,16534-s_jerome.jpg,1451-1500
65,16883-sheba.jpg,1801-1850
66,16887-keswick.jpg,1801-1850
67,17027-antwerp6.jpg,1851-1900
68,17299-selfpo26.jpg,1851-1900
69,17474-3malvag4.jpg,1501-1550
70,17505-14virgin.jpg,1501-1550
71,17546-04portra.jpg,1501-1550
72,17551-09portra.jpg,1501-1550
73,18089-9tobias.jpg,1451-1500
74,18104-2tosse1.jpg,1451-1500
75,18625-3view.jpg,1501-1550
76,18638-3view3lr.jpg,1501-1550
77,18726-guard106.jpg,1751-1800
78,19034-lakenami.jpg,1751-1800
79,19203-71pend2.jpg,1601-1650
80,19213-77post.jpg,1601-1650
81,19317-palatine.jpg,1851-1900
82,19439-stil_lif.jpg,1601-1650
83,19686-westerke.jpg,1651-1700
84,20118-49hoock.jpg,1651-1700
85,20141-vijgeboo.jpg,1651-1700
86,20473-emmaus.jpg,1551-1600
87,20578-company5.jpg,1701-1750
88,20590-banquet.jpg,1651-1700
89,21189-cafepari.jpg,1851-1900
90,21367-allegory.jpg,1751-1800
91,21435-fetewood.jpg,1701-1750
92,21468-queen.jpg,1801-1850
93,21562-abraham.jpg,1601-1650
94,22274-abductio.jpg,1451-1500
95,22311-02beerga.jpg,1851-1900
96,22346-4elemen4.jpg,1601-1650
97,22942-09ridott.jpg,1701-1750
